2016-10-10 13:11:02,334 [Thread-12] ERROR org.eclipse.jgit.util.FS - fatal: Could not switch to '/Applications/Xcode-beta.app/Contents/Developer/usr/etc/': No such file or directory

2016-10-10 13:13:59,535 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-10-10 13:14:14,302 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/helderdarocha/Code/JavaWorkspace/JavaCourse/java8-course/jdbc
2016-10-10 13:14:14,303 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2016-10-10 13:14:17,575 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:14:17,578 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-10 13:14:17,579 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:14:17,580 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-10 13:15:41,208 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.argonavis.java8:jdbc:0.0.1-SNAPSHOT @ /Users/helderdarocha/Code/JavaWorkspace/JavaCourse/java8-course/jdbc/pom.xml.
2016-10-10 13:15:41,354 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:15:41,357 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-10 13:15:41,359 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:15:41,362 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-10 13:15:48,887 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-10-10 13:15:49,065 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.argonavis.java8:jdbc:0.0.1-SNAPSHOT @ /Users/helderdarocha/Code/JavaWorkspace/JavaCourse/java8-course/jdbc/pom.xml.
2016-10-10 13:15:49,143 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jdbc/src/main/java
2016-10-10 13:15:49,143 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jdbc/src/main/resources
2016-10-10 13:15:49,144 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jdbc/src/test/java
2016-10-10 13:15:49,144 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jdbc/src/test/resources
2016-10-10 13:15:49,213 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-10-10 13:15:49,437 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:15:49,438 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2016-10-10 13:15:49,453 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:15:49,454 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-10 13:16:19,143 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/helderdarocha/Code/JavaWorkspace/JavaCourse/java8-course/jdbc
2016-10-10 13:16:19,143 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2016-10-10 13:16:22,210 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 13:16:22,212 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
